"Time","Redis"
2025-04-03 14:50:10,0.0112%
2025-04-03 14:50:20,0.0116%
2025-04-03 14:50:30,0.0118%
2025-04-03 14:50:40,0.0121%
2025-04-03 14:50:50,0.0117%
2025-04-03 14:51:00,0.0116%
2025-04-03 14:51:10,0.0117%
2025-04-03 14:51:20,0.0113%
2025-04-03 14:51:30,0.0119%
2025-04-03 14:51:40,0.0110%
2025-04-03 14:51:50,0.0114%
2025-04-03 14:52:00,0.0116%
2025-04-03 14:52:10,0.0112%
2025-04-03 14:52:20,0.0111%
2025-04-03 14:52:30,0.0111%
2025-04-03 14:52:40,0.0113%
2025-04-03 14:52:50,0.0116%
2025-04-03 14:53:00,0.0112%
2025-04-03 14:53:10,0.0113%
2025-04-03 14:53:20,0.0113%
2025-04-03 14:53:30,0.0114%
2025-04-03 14:53:40,0.0116%
2025-04-03 14:53:50,0.0119%
2025-04-03 14:54:00,0.0111%
2025-04-03 14:54:10,0.0119%
2025-04-03 14:54:20,0.0117%
2025-04-03 14:54:30,0.0122%
2025-04-03 14:54:40,0.0117%
2025-04-03 14:54:50,0.0118%
2025-04-03 14:55:00,0.0119%
2025-04-03 14:55:10,0.0110%
