"Time","Grouped CPU Load"
2025-04-03 08:32:20,18.1%
2025-04-03 08:32:30,36.2%
2025-04-03 08:32:40,36.4%
2025-04-03 08:32:50,35.8%
2025-04-03 08:33:00,35.1%
2025-04-03 08:33:10,36.0%
2025-04-03 08:33:20,36.5%
2025-04-03 08:33:30,35.5%
2025-04-03 08:33:40,35.7%
2025-04-03 08:33:50,36.2%
2025-04-03 08:34:00,35.9%
2025-04-03 08:34:10,35.7%
2025-04-03 08:34:20,36.3%
2025-04-03 08:34:30,35.8%
2025-04-03 08:34:40,35.9%
2025-04-03 08:34:50,36.3%
2025-04-03 08:35:00,36.2%
2025-04-03 08:35:10,35.6%
2025-04-03 08:35:20,36.0%
2025-04-03 08:35:30,36.3%
2025-04-03 08:35:40,34.1%
2025-04-03 08:35:50,33.1%
2025-04-03 08:36:00,36.1%
2025-04-03 08:36:10,34.9%
2025-04-03 08:36:20,36.0%
2025-04-03 08:36:30,36.5%
2025-04-03 08:36:40,37.3%
2025-04-03 08:36:50,36.9%
2025-04-03 08:37:00,36.5%
2025-04-03 08:37:10,37.2%
2025-04-03 08:37:20,36.3%
