"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 08:38:30,31.0 W
2025-04-03 08:38:30,31.4 W
2025-04-03 08:38:31,32.5 W
2025-04-03 08:38:31,31.7 W
2025-04-03 08:38:32,31.6 W
2025-04-03 08:38:32,32.0 W
2025-04-03 08:38:33,31.0 W
2025-04-03 08:38:33,30.4 W
2025-04-03 08:38:34,31.4 W
2025-04-03 08:38:34,32.1 W
2025-04-03 08:38:35,33.0 W
2025-04-03 08:38:35,32.5 W
2025-04-03 08:38:36,32.3 W
2025-04-03 08:38:36,31.2 W
2025-04-03 08:38:37,31.1 W
2025-04-03 08:38:37,31.2 W
2025-04-03 08:38:38,32.9 W
2025-04-03 08:38:38,33.2 W
2025-04-03 08:38:39,32.6 W
2025-04-03 08:38:39,34.6 W
2025-04-03 08:38:40,33.4 W
2025-04-03 08:38:40,31.7 W
2025-04-03 08:38:41,32.0 W
2025-04-03 08:38:41,32.0 W
2025-04-03 08:38:42,32.3 W
2025-04-03 08:38:42,31.4 W
2025-04-03 08:38:43,30.9 W
2025-04-03 08:38:43,31.4 W
2025-04-03 08:38:44,32.1 W
2025-04-03 08:38:44,31.1 W
2025-04-03 08:38:45,31.0 W
2025-04-03 08:38:45,30.2 W
2025-04-03 08:38:46,30.0 W
2025-04-03 08:38:46,29.6 W
2025-04-03 08:38:47,31.7 W
2025-04-03 08:38:47,31.6 W
2025-04-03 08:38:48,31.9 W
2025-04-03 08:38:48,31.5 W
2025-04-03 08:38:49,30.4 W
2025-04-03 08:38:49,30.8 W
2025-04-03 08:38:50,31.8 W
2025-04-03 08:38:50,31.2 W
2025-04-03 08:38:51,31.3 W
2025-04-03 08:38:51,31.3 W
2025-04-03 08:38:52,31.7 W
2025-04-03 08:38:52,31.5 W
2025-04-03 08:38:53,31.2 W
2025-04-03 08:38:53,30.6 W
2025-04-03 08:38:54,30.9 W
2025-04-03 08:38:54,30.7 W
2025-04-03 08:38:55,30.6 W
2025-04-03 08:38:55,30.7 W
2025-04-03 08:38:56,31.4 W
2025-04-03 08:38:56,31.1 W
2025-04-03 08:38:57,31.4 W
2025-04-03 08:38:57,31.1 W
2025-04-03 08:38:58,31.5 W
2025-04-03 08:38:58,31.4 W
2025-04-03 08:38:59,30.4 W
2025-04-03 08:38:59,31.1 W
2025-04-03 08:39:00,30.9 W
2025-04-03 08:39:00,31.8 W
2025-04-03 08:39:01,32.3 W
2025-04-03 08:39:01,32.2 W
2025-04-03 08:39:02,31.4 W
2025-04-03 08:39:02,31.3 W
2025-04-03 08:39:03,32.7 W
2025-04-03 08:39:03,31.5 W
2025-04-03 08:39:04,31.2 W
2025-04-03 08:39:04,31.6 W
2025-04-03 08:39:05,31.1 W
2025-04-03 08:39:05,31.1 W
2025-04-03 08:39:06,31.5 W
2025-04-03 08:39:06,30.8 W
2025-04-03 08:39:07,30.8 W
2025-04-03 08:39:07,30.7 W
2025-04-03 08:39:08,31.6 W
2025-04-03 08:39:08,32.4 W
2025-04-03 08:39:09,32.0 W
2025-04-03 08:39:09,31.5 W
2025-04-03 08:39:10,31.4 W
2025-04-03 08:39:10,31.9 W
2025-04-03 08:39:11,31.5 W
2025-04-03 08:39:11,32.1 W
2025-04-03 08:39:12,32.2 W
2025-04-03 08:39:12,31.9 W
2025-04-03 08:39:13,32.1 W
2025-04-03 08:39:13,30.4 W
2025-04-03 08:39:14,31.2 W
2025-04-03 08:39:14,31.1 W
2025-04-03 08:39:15,31.7 W
2025-04-03 08:39:15,30.8 W
2025-04-03 08:39:16,30.2 W
2025-04-03 08:39:16,31.1 W
2025-04-03 08:39:17,31.9 W
2025-04-03 08:39:17,30.5 W
2025-04-03 08:39:18,31.6 W
2025-04-03 08:39:18,31.2 W
2025-04-03 08:39:19,31.8 W
2025-04-03 08:39:19,32.4 W
2025-04-03 08:39:20,31.6 W
2025-04-03 08:39:20,32.1 W
2025-04-03 08:39:21,31.0 W
2025-04-03 08:39:21,30.5 W
2025-04-03 08:39:22,30.7 W
2025-04-03 08:39:22,30.4 W
2025-04-03 08:39:23,30.7 W
2025-04-03 08:39:23,30.3 W
2025-04-03 08:39:24,32.3 W
2025-04-03 08:39:24,31.1 W
2025-04-03 08:39:25,31.2 W
2025-04-03 08:39:25,30.7 W
2025-04-03 08:39:26,30.8 W
2025-04-03 08:39:26,30.8 W
2025-04-03 08:39:27,30.8 W
2025-04-03 08:39:27,30.4 W
2025-04-03 08:39:28,30.1 W
2025-04-03 08:39:28,30.6 W
2025-04-03 08:39:29,30.1 W
2025-04-03 08:39:29,31.1 W
2025-04-03 08:39:30,31.3 W
2025-04-03 08:39:30,30.3 W
2025-04-03 08:39:31,31.7 W
2025-04-03 08:39:31,31.3 W
2025-04-03 08:39:32,31.8 W
2025-04-03 08:39:32,31.3 W
2025-04-03 08:39:33,31.7 W
2025-04-03 08:39:33,31.7 W
2025-04-03 08:39:34,30.6 W
2025-04-03 08:39:34,30.6 W
2025-04-03 08:39:35,30.8 W
2025-04-03 08:39:35,30.6 W
2025-04-03 08:39:36,30.4 W
2025-04-03 08:39:36,30.0 W
2025-04-03 08:39:37,30.7 W
2025-04-03 08:39:37,32.3 W
2025-04-03 08:39:38,32.2 W
2025-04-03 08:39:38,31.8 W
2025-04-03 08:39:39,31.8 W
2025-04-03 08:39:39,31.4 W
2025-04-03 08:39:40,31.3 W
2025-04-03 08:39:40,31.2 W
2025-04-03 08:39:41,31.3 W
2025-04-03 08:39:41,32.8 W
2025-04-03 08:39:42,31.2 W
2025-04-03 08:39:42,31.4 W
2025-04-03 08:39:43,32.0 W
2025-04-03 08:39:43,32.1 W
2025-04-03 08:39:44,32.0 W
2025-04-03 08:39:44,31.3 W
2025-04-03 08:39:45,31.5 W
2025-04-03 08:39:45,31.7 W
2025-04-03 08:39:46,31.6 W
2025-04-03 08:39:46,30.6 W
2025-04-03 08:39:47,30.6 W
2025-04-03 08:39:47,30.5 W
2025-04-03 08:39:48,31.4 W
2025-04-03 08:39:48,30.9 W
2025-04-03 08:39:49,30.6 W
2025-04-03 08:39:49,30.3 W
2025-04-03 08:39:50,30.1 W
2025-04-03 08:39:50,30.6 W
2025-04-03 08:39:51,30.5 W
2025-04-03 08:39:51,31.5 W
2025-04-03 08:39:52,31.9 W
2025-04-03 08:39:52,31.4 W
2025-04-03 08:39:53,31.8 W
2025-04-03 08:39:53,31.4 W
2025-04-03 08:39:54,32.3 W
2025-04-03 08:39:54,31.3 W
2025-04-03 08:39:55,31.2 W
2025-04-03 08:39:55,30.9 W
2025-04-03 08:39:56,30.3 W
2025-04-03 08:39:56,30.6 W
2025-04-03 08:39:57,30.1 W
2025-04-03 08:39:57,30.2 W
2025-04-03 08:39:58,29.8 W
2025-04-03 08:39:58,30.1 W
2025-04-03 08:39:59,30.2 W
2025-04-03 08:39:59,30.2 W
2025-04-03 08:40:00,30.0 W
2025-04-03 08:40:00,30.1 W
2025-04-03 08:40:01,30.2 W
2025-04-03 08:40:01,29.8 W
2025-04-03 08:40:02,30.2 W
2025-04-03 08:40:02,29.9 W
2025-04-03 08:40:03,30.0 W
2025-04-03 08:40:03,30.9 W
2025-04-03 08:40:04,30.6 W
2025-04-03 08:40:04,30.4 W
2025-04-03 08:40:05,30.8 W
2025-04-03 08:40:05,31.7 W
2025-04-03 08:40:06,30.5 W
2025-04-03 08:40:06,30.5 W
2025-04-03 08:40:07,30.3 W
2025-04-03 08:40:07,30.9 W
2025-04-03 08:40:08,30.1 W
2025-04-03 08:40:08,30.2 W
2025-04-03 08:40:09,29.7 W
2025-04-03 08:40:10,31.0 W
2025-04-03 08:40:10,30.5 W
2025-04-03 08:40:11,31.7 W
2025-04-03 08:40:11,31.2 W
2025-04-03 08:40:12,31.3 W
2025-04-03 08:40:12,32.0 W
2025-04-03 08:40:13,30.7 W
2025-04-03 08:40:13,30.3 W
2025-04-03 08:40:14,30.0 W
2025-04-03 08:40:14,30.4 W
2025-04-03 08:40:15,31.2 W
2025-04-03 08:40:15,31.7 W
2025-04-03 08:40:16,31.7 W
2025-04-03 08:40:16,34.4 W
2025-04-03 08:40:17,37.1 W
2025-04-03 08:40:17,32.7 W
