"Time","Postgres"
2025-04-03 09:08:40,1.67%
2025-04-03 09:08:50,2.06%
2025-04-03 09:09:00,2.06%
2025-04-03 09:09:10,2.12%
2025-04-03 09:09:20,2.10%
2025-04-03 09:09:30,2.13%
2025-04-03 09:09:40,2.12%
2025-04-03 09:09:50,2.08%
2025-04-03 09:10:00,2.08%
2025-04-03 09:10:10,2.07%
2025-04-03 09:10:20,2.09%
2025-04-03 09:10:30,2.06%
2025-04-03 09:10:40,2.07%
2025-04-03 09:10:50,2.06%
2025-04-03 09:11:00,2.05%
2025-04-03 09:11:10,2.03%
2025-04-03 09:11:20,2.03%
2025-04-03 09:11:30,2.04%
2025-04-03 09:11:40,2.01%
2025-04-03 09:11:50,2.11%
2025-04-03 09:12:00,1.97%
2025-04-03 09:12:10,1.91%
2025-04-03 09:12:20,2.10%
2025-04-03 09:12:30,2.02%
2025-04-03 09:12:40,1.87%
2025-04-03 09:12:50,2.10%
2025-04-03 09:13:00,2.00%
2025-04-03 09:13:10,1.92%
2025-04-03 09:13:20,2.02%
2025-04-03 09:13:30,2.07%
2025-04-03 09:13:40,2.02%
