"Time","Redis"
2025-04-03 08:32:20,0.0101%
2025-04-03 08:32:30,0.0114%
2025-04-03 08:32:40,0.0108%
2025-04-03 08:32:50,0.0114%
2025-04-03 08:33:00,0.0113%
2025-04-03 08:33:10,0.0105%
2025-04-03 08:33:20,0.0107%
2025-04-03 08:33:30,0.0113%
2025-04-03 08:33:40,0.0111%
2025-04-03 08:33:50,0.0111%
2025-04-03 08:34:00,0.0113%
2025-04-03 08:34:10,0.0109%
2025-04-03 08:34:20,0.0113%
2025-04-03 08:34:30,0.0108%
2025-04-03 08:34:40,0.0107%
2025-04-03 08:34:50,0.0106%
2025-04-03 08:35:00,0.0110%
2025-04-03 08:35:10,0.0110%
2025-04-03 08:35:20,0.0110%
2025-04-03 08:35:30,0.0109%
2025-04-03 08:35:40,0.0112%
2025-04-03 08:35:50,0.0121%
2025-04-03 08:36:00,0.0111%
2025-04-03 08:36:10,0.0114%
2025-04-03 08:36:20,0.0110%
2025-04-03 08:36:30,0.0106%
2025-04-03 08:36:40,0.0100%
2025-04-03 08:36:50,0.00988%
2025-04-03 08:37:00,0.0103%
2025-04-03 08:37:10,0.0107%
2025-04-03 08:37:20,0.0109%
