"Time","GraphQL server"
2025-04-03 08:38:30,30.8%
2025-04-03 08:38:40,34.6%
2025-04-03 08:38:50,34.6%
2025-04-03 08:39:00,34.0%
2025-04-03 08:39:10,34.2%
2025-04-03 08:39:20,34.3%
2025-04-03 08:39:30,34.8%
2025-04-03 08:39:40,34.8%
2025-04-03 08:39:50,34.3%
2025-04-03 08:40:00,34.5%
2025-04-03 08:40:10,35.1%
2025-04-03 08:40:20,34.8%
2025-04-03 08:40:30,34.0%
2025-04-03 08:40:40,35.3%
2025-04-03 08:40:50,34.4%
2025-04-03 08:41:00,34.8%
2025-04-03 08:41:10,34.6%
2025-04-03 08:41:20,35.2%
2025-04-03 08:41:30,34.3%
2025-04-03 08:41:40,35.2%
2025-04-03 08:41:50,34.2%
2025-04-03 08:42:00,34.2%
2025-04-03 08:42:10,34.8%
2025-04-03 08:42:20,34.0%
2025-04-03 08:42:30,34.5%
2025-04-03 08:42:40,33.6%
2025-04-03 08:42:50,34.2%
2025-04-03 08:43:00,33.6%
2025-04-03 08:43:10,34.2%
2025-04-03 08:43:20,34.1%
2025-04-03 08:43:30,34.7%
