"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 10:36:51,27.0 W
2025-04-03 10:36:52,25.9 W
2025-04-03 10:36:52,25.6 W
2025-04-03 10:36:53,25.5 W
2025-04-03 10:36:53,26.7 W
2025-04-03 10:36:54,27.3 W
2025-04-03 10:36:54,26.5 W
2025-04-03 10:36:55,27.6 W
2025-04-03 10:36:55,28.2 W
2025-04-03 10:36:56,27.4 W
2025-04-03 10:36:56,27.8 W
2025-04-03 10:36:57,26.8 W
2025-04-03 10:36:57,26.9 W
2025-04-03 10:36:58,26.6 W
2025-04-03 10:36:58,26.3 W
2025-04-03 10:36:59,26.4 W
2025-04-03 10:36:59,25.8 W
2025-04-03 10:37:00,26.0 W
2025-04-03 10:37:00,26.0 W
2025-04-03 10:37:01,26.0 W
2025-04-03 10:37:01,26.9 W
2025-04-03 10:37:02,26.4 W
2025-04-03 10:37:02,25.9 W
2025-04-03 10:37:03,26.8 W
2025-04-03 10:37:03,26.2 W
2025-04-03 10:37:04,26.0 W
2025-04-03 10:37:04,26.5 W
2025-04-03 10:37:05,25.6 W
2025-04-03 10:37:05,27.7 W
2025-04-03 10:37:06,26.7 W
2025-04-03 10:37:06,27.3 W
2025-04-03 10:37:07,27.2 W
2025-04-03 10:37:07,26.3 W
2025-04-03 10:37:08,25.4 W
2025-04-03 10:37:08,25.5 W
2025-04-03 10:37:09,25.4 W
2025-04-03 10:37:09,25.4 W
2025-04-03 10:37:10,26.3 W
2025-04-03 10:37:10,27.1 W
2025-04-03 10:37:11,27.3 W
2025-04-03 10:37:11,27.3 W
2025-04-03 10:37:12,27.3 W
2025-04-03 10:37:12,25.9 W
2025-04-03 10:37:13,25.1 W
2025-04-03 10:37:13,26.5 W
2025-04-03 10:37:14,26.9 W
2025-04-03 10:37:14,26.1 W
2025-04-03 10:37:15,27.4 W
2025-04-03 10:37:15,26.7 W
2025-04-03 10:37:16,26.5 W
2025-04-03 10:37:16,27.5 W
2025-04-03 10:37:17,26.2 W
2025-04-03 10:37:17,28.1 W
2025-04-03 10:37:18,26.2 W
2025-04-03 10:37:18,27.1 W
2025-04-03 10:37:19,26.9 W
2025-04-03 10:37:19,26.7 W
2025-04-03 10:37:20,26.7 W
2025-04-03 10:37:20,26.9 W
2025-04-03 10:37:21,27.1 W
2025-04-03 10:37:21,27.1 W
2025-04-03 10:37:22,26.1 W
2025-04-03 10:37:22,26.6 W
2025-04-03 10:37:23,26.4 W
2025-04-03 10:37:23,26.7 W
