"Time","Grouped CPU Load"
2025-04-03 09:42:30,0.748%
2025-04-03 09:42:40,9.63%
2025-04-03 09:42:50,9.51%
2025-04-03 09:43:00,9.30%
2025-04-03 09:43:10,9.45%
2025-04-03 09:43:20,9.27%
2025-04-03 09:43:30,9.50%
2025-04-03 09:43:40,9.20%
2025-04-03 09:43:50,9.43%
2025-04-03 09:44:00,9.26%
2025-04-03 09:44:10,9.50%
2025-04-03 09:44:20,9.28%
2025-04-03 09:44:30,9.51%
2025-04-03 09:44:40,9.22%
2025-04-03 09:44:50,9.37%
2025-04-03 09:45:00,9.54%
2025-04-03 09:45:10,9.33%
2025-04-03 09:45:20,9.54%
2025-04-03 09:45:30,9.24%
2025-04-03 09:45:40,9.23%
2025-04-03 09:45:50,9.61%
2025-04-03 09:46:00,9.28%
2025-04-03 09:46:10,9.37%
2025-04-03 09:46:20,9.60%
2025-04-03 09:46:30,9.13%
2025-04-03 09:46:40,9.26%
2025-04-03 09:46:50,9.24%
2025-04-03 09:47:00,9.50%
2025-04-03 09:47:10,9.21%
2025-04-03 09:47:20,9.20%
2025-04-03 09:47:30,9.19%
