"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 09:49:50,26.3 W
2025-04-03 09:49:50,27.0 W
2025-04-03 09:49:51,25.3 W
2025-04-03 09:49:51,26.4 W
2025-04-03 09:49:52,26.4 W
2025-04-03 09:49:52,26.7 W
2025-04-03 09:49:53,25.6 W
2025-04-03 09:49:53,25.3 W
2025-04-03 09:49:54,24.2 W
2025-04-03 09:49:54,23.9 W
2025-04-03 09:49:55,25.4 W
2025-04-03 09:49:55,25.1 W
2025-04-03 09:49:56,25.8 W
2025-04-03 09:49:56,25.9 W
2025-04-03 09:49:57,26.9 W
2025-04-03 09:49:57,25.0 W
2025-04-03 09:49:58,24.9 W
2025-04-03 09:49:58,26.6 W
2025-04-03 09:49:59,25.7 W
2025-04-03 09:49:59,27.2 W
2025-04-03 09:50:00,26.5 W
2025-04-03 09:50:00,26.0 W
2025-04-03 09:50:01,25.2 W
2025-04-03 09:50:01,23.9 W
2025-04-03 09:50:02,23.1 W
2025-04-03 09:50:02,23.7 W
2025-04-03 09:50:03,24.4 W
2025-04-03 09:50:03,25.7 W
2025-04-03 09:50:04,26.8 W
2025-04-03 09:50:04,27.1 W
2025-04-03 09:50:05,26.9 W
2025-04-03 09:50:05,27.9 W
2025-04-03 09:50:06,25.7 W
2025-04-03 09:50:06,25.5 W
2025-04-03 09:50:07,26.1 W
2025-04-03 09:50:07,26.1 W
2025-04-03 09:50:08,26.8 W
2025-04-03 09:50:08,26.7 W
2025-04-03 09:50:09,24.5 W
2025-04-03 09:50:09,25.8 W
2025-04-03 09:50:10,25.5 W
2025-04-03 09:50:10,26.7 W
2025-04-03 09:50:11,26.0 W
2025-04-03 09:50:11,26.4 W
2025-04-03 09:50:12,25.8 W
2025-04-03 09:50:12,25.6 W
2025-04-03 09:50:13,26.2 W
2025-04-03 09:50:13,25.1 W
2025-04-03 09:50:14,26.7 W
2025-04-03 09:50:14,26.4 W
2025-04-03 09:50:15,25.5 W
2025-04-03 09:50:15,26.2 W
2025-04-03 09:50:16,26.4 W
2025-04-03 09:50:16,25.1 W
2025-04-03 09:50:17,25.5 W
2025-04-03 09:50:17,27.3 W
2025-04-03 09:50:18,25.5 W
2025-04-03 09:50:18,25.4 W
2025-04-03 09:50:19,25.9 W
2025-04-03 09:50:19,26.0 W
2025-04-03 09:50:20,26.6 W
2025-04-03 09:50:20,25.7 W
2025-04-03 09:50:21,24.6 W
2025-04-03 09:50:21,25.4 W
2025-04-03 09:50:22,27.4 W
2025-04-03 09:50:22,25.3 W
2025-04-03 09:50:23,24.3 W
2025-04-03 09:50:23,23.9 W
2025-04-03 09:50:24,24.4 W
2025-04-03 09:50:24,25.0 W
2025-04-03 09:50:25,24.5 W
2025-04-03 09:50:25,24.3 W
2025-04-03 09:50:26,25.2 W
2025-04-03 09:50:26,26.0 W
2025-04-03 09:50:27,25.7 W
