"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 11:27:20,30.6 W
2025-04-03 11:27:20,28.9 W
2025-04-03 11:27:21,29.5 W
2025-04-03 11:27:21,29.4 W
2025-04-03 11:27:22,29.3 W
2025-04-03 11:27:22,29.1 W
2025-04-03 11:27:23,28.7 W
2025-04-03 11:27:23,29.0 W
2025-04-03 11:27:24,28.9 W
2025-04-03 11:27:24,29.4 W
2025-04-03 11:27:25,29.7 W
2025-04-03 11:27:25,29.9 W
2025-04-03 11:27:26,30.1 W
2025-04-03 11:27:26,30.0 W
2025-04-03 11:27:27,29.0 W
2025-04-03 11:27:27,29.4 W
2025-04-03 11:27:28,28.8 W
2025-04-03 11:27:28,29.1 W
2025-04-03 11:27:29,29.4 W
2025-04-03 11:27:29,28.7 W
2025-04-03 11:27:30,29.4 W
2025-04-03 11:27:30,30.9 W
2025-04-03 11:27:31,29.7 W
2025-04-03 11:27:31,29.1 W
2025-04-03 11:27:32,30.1 W
2025-04-03 11:27:32,28.7 W
2025-04-03 11:27:33,29.2 W
2025-04-03 11:27:33,29.1 W
2025-04-03 11:27:34,28.4 W
2025-04-03 11:27:34,29.2 W
2025-04-03 11:27:35,29.2 W
2025-04-03 11:27:35,29.2 W
2025-04-03 11:27:36,28.9 W
2025-04-03 11:27:36,28.7 W
2025-04-03 11:27:37,28.9 W
2025-04-03 11:27:37,29.3 W
2025-04-03 11:27:38,29.9 W
2025-04-03 11:27:38,28.7 W
2025-04-03 11:27:39,29.4 W
2025-04-03 11:27:39,29.4 W
2025-04-03 11:27:40,29.4 W
2025-04-03 11:27:40,28.8 W
2025-04-03 11:27:41,29.2 W
2025-04-03 11:27:41,28.8 W
2025-04-03 11:27:42,29.2 W
2025-04-03 11:27:42,29.2 W
2025-04-03 11:27:43,29.4 W
2025-04-03 11:27:43,30.5 W
2025-04-03 11:27:44,29.9 W
2025-04-03 11:27:44,29.4 W
2025-04-03 11:27:45,29.6 W
2025-04-03 11:27:45,29.8 W
2025-04-03 11:27:46,28.9 W
2025-04-03 11:27:46,29.4 W
2025-04-03 11:27:47,29.3 W
2025-04-03 11:27:47,28.8 W
2025-04-03 11:27:48,28.6 W
2025-04-03 11:27:48,29.9 W
2025-04-03 11:27:49,29.2 W
2025-04-03 11:27:49,29.2 W
2025-04-03 11:27:50,28.7 W
2025-04-03 11:27:50,29.2 W
2025-04-03 11:27:51,29.3 W
2025-04-03 11:27:51,28.8 W
