"Time","Redis"
2025-04-03 11:27:20,0.00976%
2025-04-03 11:27:30,0.0104%
2025-04-03 11:27:40,0.0109%
2025-04-03 11:27:50,0.0107%
2025-04-03 11:28:00,0.0106%
2025-04-03 11:28:10,0.0103%
2025-04-03 11:28:20,0.00995%
2025-04-03 11:28:30,0.00992%
2025-04-03 11:28:40,0.0102%
2025-04-03 11:28:50,0.0107%
2025-04-03 11:29:00,0.0113%
2025-04-03 11:29:10,0.0107%
2025-04-03 11:29:20,0.0110%
2025-04-03 11:29:30,0.0109%
2025-04-03 11:29:40,0.0105%
2025-04-03 11:29:50,0.0102%
2025-04-03 11:30:00,0.0109%
2025-04-03 11:30:10,0.0109%
2025-04-03 11:30:20,0.0112%
2025-04-03 11:30:30,0.0110%
2025-04-03 11:30:40,0.0112%
2025-04-03 11:30:50,0.0103%
2025-04-03 11:31:00,0.0106%
2025-04-03 11:31:10,0.0107%
2025-04-03 11:31:20,0.0105%
2025-04-03 11:31:30,0.0104%
2025-04-03 11:31:40,0.0109%
2025-04-03 11:31:50,0.0107%
2025-04-03 11:32:00,0.0110%
2025-04-03 11:32:10,0.0107%
2025-04-03 11:32:20,0.0108%
