"Time","Grouped CPU Load"
2025-04-03 13:03:40,60.5%
2025-04-03 13:03:50,59.6%
2025-04-03 13:04:00,59.2%
2025-04-03 13:04:10,61.9%
2025-04-03 13:04:20,61.0%
2025-04-03 13:04:30,59.7%
2025-04-03 13:04:40,59.7%
2025-04-03 13:04:50,61.6%
2025-04-03 13:05:00,60.6%
2025-04-03 13:05:10,60.2%
2025-04-03 13:05:20,62.8%
2025-04-03 13:05:30,59.5%
2025-04-03 13:05:40,60.5%
2025-04-03 13:05:50,58.9%
2025-04-03 13:06:00,60.0%
2025-04-03 13:06:10,59.3%
2025-04-03 13:06:20,62.8%
2025-04-03 13:06:30,61.6%
2025-04-03 13:06:40,63.0%
2025-04-03 13:06:50,61.0%
2025-04-03 13:07:00,62.0%
2025-04-03 13:07:10,63.2%
2025-04-03 13:07:20,64.9%
2025-04-03 13:07:30,63.7%
2025-04-03 13:07:40,64.5%
2025-04-03 13:07:50,60.1%
2025-04-03 13:08:00,61.6%
2025-04-03 13:08:10,61.5%
2025-04-03 13:08:20,58.9%
2025-04-03 13:08:30,61.8%
2025-04-03 13:08:40,59.1%
