"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 13:31:03,30.2 W
2025-04-03 13:31:04,34.8 W
2025-04-03 13:31:04,30.0 W
2025-04-03 13:31:05,34.6 W
2025-04-03 13:31:05,30.8 W
2025-04-03 13:31:06,34.6 W
2025-04-03 13:31:06,32.9 W
2025-04-03 13:31:07,33.2 W
2025-04-03 13:31:07,34.5 W
2025-04-03 13:31:08,31.2 W
2025-04-03 13:31:08,36.8 W
2025-04-03 13:31:09,32.4 W
2025-04-03 13:31:09,36.4 W
2025-04-03 13:31:10,31.9 W
2025-04-03 13:31:10,36.0 W
2025-04-03 13:31:11,30.9 W
2025-04-03 13:31:11,36.5 W
2025-04-03 13:31:12,34.7 W
2025-04-03 13:31:12,34.0 W
2025-04-03 13:31:13,36.4 W
2025-04-03 13:31:13,31.9 W
2025-04-03 13:31:14,36.6 W
2025-04-03 13:31:14,32.1 W
2025-04-03 13:31:15,35.8 W
2025-04-03 13:31:15,32.5 W
2025-04-03 13:31:16,35.8 W
2025-04-03 13:31:16,33.9 W
2025-04-03 13:31:17,33.6 W
2025-04-03 13:31:17,35.1 W
2025-04-03 13:31:18,32.4 W
2025-04-03 13:31:18,36.1 W
2025-04-03 13:31:19,32.2 W
2025-04-03 13:31:19,36.5 W
2025-04-03 13:31:20,31.8 W
2025-04-03 13:31:20,35.9 W
2025-04-03 13:31:21,31.0 W
2025-04-03 13:31:21,35.5 W
2025-04-03 13:31:22,31.5 W
2025-04-03 13:31:22,34.9 W
2025-04-03 13:31:23,33.1 W
2025-04-03 13:31:23,31.7 W
2025-04-03 13:31:24,34.5 W
2025-04-03 13:31:24,30.5 W
2025-04-03 13:31:25,35.0 W
2025-04-03 13:31:25,32.1 W
2025-04-03 13:31:26,35.6 W
2025-04-03 13:31:26,31.5 W
2025-04-03 13:31:27,35.4 W
2025-04-03 13:31:27,30.7 W
2025-04-03 13:31:28,35.2 W
2025-04-03 13:31:28,31.3 W
2025-04-03 13:31:29,35.5 W
2025-04-03 13:31:29,32.8 W
2025-04-03 13:31:30,34.1 W
2025-04-03 13:31:30,35.2 W
2025-04-03 13:31:31,31.0 W
2025-04-03 13:31:31,35.1 W
2025-04-03 13:31:32,30.4 W
2025-04-03 13:31:32,34.8 W
2025-04-03 13:31:33,30.2 W
2025-04-03 13:31:33,34.5 W
2025-04-03 13:31:34,29.6 W
2025-04-03 13:31:34,34.3 W
2025-04-03 13:31:35,30.1 W
2025-04-03 13:31:35,34.6 W
2025-04-03 13:31:36,30.2 W
2025-04-03 13:31:36,34.9 W
2025-04-03 13:31:37,30.7 W
2025-04-03 13:31:37,34.9 W
2025-04-03 13:31:38,32.8 W
2025-04-03 13:31:38,35.0 W
2025-04-03 13:31:39,35.7 W
2025-04-03 13:31:39,31.0 W
2025-04-03 13:31:40,35.3 W
2025-04-03 13:31:40,31.4 W
2025-04-03 13:31:41,35.5 W
2025-04-03 13:31:41,31.5 W
2025-04-03 13:31:42,35.0 W
2025-04-03 13:31:42,31.9 W
2025-04-03 13:31:43,34.9 W
2025-04-03 13:31:43,33.4 W
2025-04-03 13:31:44,33.7 W
2025-04-03 13:31:44,34.4 W
2025-04-03 13:31:45,31.6 W
2025-04-03 13:31:45,35.4 W
2025-04-03 13:31:46,31.1 W
2025-04-03 13:31:46,35.7 W
2025-04-03 13:31:47,31.3 W
2025-04-03 13:31:47,36.1 W
2025-04-03 13:31:48,32.0 W
2025-04-03 13:31:48,35.8 W
2025-04-03 13:31:49,30.7 W
2025-04-03 13:31:49,34.9 W
2025-04-03 13:31:50,33.1 W
2025-04-03 13:31:50,32.8 W
2025-04-03 13:31:51,36.6 W
2025-04-03 13:31:51,32.1 W
2025-04-03 13:31:52,35.8 W
2025-04-03 13:31:52,31.0 W
2025-04-03 13:31:53,33.5 W
2025-04-03 13:31:53,35.9 W
2025-04-03 13:31:54,33.4 W
2025-04-03 13:31:54,33.8 W
2025-04-03 13:31:55,33.2 W
2025-04-03 13:31:55,35.6 W
2025-04-03 13:31:56,31.9 W
2025-04-03 13:31:56,33.7 W
2025-04-03 13:31:57,33.0 W
2025-04-03 13:31:57,30.8 W
2025-04-03 13:31:58,35.3 W
2025-04-03 13:31:58,30.8 W
2025-04-03 13:31:59,34.8 W
2025-04-03 13:31:59,31.0 W
2025-04-03 13:32:00,34.9 W
2025-04-03 13:32:00,31.9 W
2025-04-03 13:32:01,35.7 W
2025-04-03 13:32:01,31.3 W
2025-04-03 13:32:02,35.6 W
2025-04-03 13:32:02,31.0 W
2025-04-03 13:32:03,36.1 W
2025-04-03 13:32:03,33.0 W
2025-04-03 13:32:04,35.9 W
2025-04-03 13:32:04,31.5 W
2025-04-03 13:32:05,36.1 W
2025-04-03 13:32:05,31.5 W
2025-04-03 13:32:06,35.1 W
2025-04-03 13:32:06,31.0 W
2025-04-03 13:32:07,35.3 W
2025-04-03 13:32:07,30.7 W
2025-04-03 13:32:08,34.5 W
2025-04-03 13:32:08,30.3 W
2025-04-03 13:32:09,34.9 W
2025-04-03 13:32:09,30.7 W
2025-04-03 13:32:10,35.3 W
2025-04-03 13:32:11,32.0 W
2025-04-03 13:32:11,35.4 W
2025-04-03 13:32:12,30.2 W
2025-04-03 13:32:12,34.2 W
2025-04-03 13:32:13,30.5 W
2025-04-03 13:32:13,35.0 W
2025-04-03 13:32:14,30.4 W
2025-04-03 13:32:14,34.9 W
2025-04-03 13:32:15,30.2 W
2025-04-03 13:32:15,34.9 W
2025-04-03 13:32:16,31.0 W
2025-04-03 13:32:16,35.1 W
2025-04-03 13:32:17,32.5 W
2025-04-03 13:32:17,37.1 W
2025-04-03 13:32:18,33.2 W
2025-04-03 13:32:18,36.7 W
2025-04-03 13:32:19,34.0 W
2025-04-03 13:32:19,35.5 W
2025-04-03 13:32:20,34.7 W
2025-04-03 13:32:20,34.3 W
2025-04-03 13:32:21,35.1 W
2025-04-03 13:32:21,32.8 W
2025-04-03 13:32:22,36.3 W
2025-04-03 13:32:22,32.0 W
2025-04-03 13:32:23,36.1 W
2025-04-03 13:32:23,32.4 W
2025-04-03 13:32:24,36.5 W
2025-04-03 13:32:24,32.2 W
2025-04-03 13:32:25,35.8 W
2025-04-03 13:32:25,32.2 W
2025-04-03 13:32:26,36.5 W
2025-04-03 13:32:26,32.7 W
2025-04-03 13:32:27,35.7 W
2025-04-03 13:32:27,33.8 W
2025-04-03 13:32:28,34.9 W
2025-04-03 13:32:28,34.3 W
