"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 12:16:46,32.8 W
2025-04-03 12:16:46,36.1 W
2025-04-03 12:16:47,34.0 W
2025-04-03 12:16:47,36.1 W
2025-04-03 12:16:48,32.9 W
2025-04-03 12:16:48,36.2 W
2025-04-03 12:16:49,32.7 W
2025-04-03 12:16:49,35.5 W
2025-04-03 12:16:50,32.9 W
2025-04-03 12:16:50,35.7 W
2025-04-03 12:16:51,32.7 W
2025-04-03 12:16:51,35.2 W
2025-04-03 12:16:52,32.3 W
2025-04-03 12:16:52,35.1 W
2025-04-03 12:16:53,31.0 W
2025-04-03 12:16:53,34.5 W
2025-04-03 12:16:54,31.8 W
2025-04-03 12:16:54,34.8 W
2025-04-03 12:16:55,31.3 W
2025-04-03 12:16:55,34.1 W
2025-04-03 12:16:56,32.2 W
2025-04-03 12:16:56,32.5 W
2025-04-03 12:16:57,33.7 W
2025-04-03 12:16:57,32.4 W
2025-04-03 12:16:58,35.0 W
2025-04-03 12:16:58,33.6 W
2025-04-03 12:16:59,34.6 W
2025-04-03 12:16:59,32.7 W
2025-04-03 12:17:00,35.2 W
2025-04-03 12:17:00,33.2 W
2025-04-03 12:17:01,34.9 W
2025-04-03 12:17:01,32.2 W
2025-04-03 12:17:02,34.7 W
2025-04-03 12:17:02,31.9 W
2025-04-03 12:17:03,34.9 W
2025-04-03 12:17:03,31.9 W
2025-04-03 12:17:04,34.9 W
2025-04-03 12:17:04,32.0 W
2025-04-03 12:17:05,36.2 W
2025-04-03 12:17:05,35.0 W
2025-04-03 12:17:06,35.9 W
2025-04-03 12:17:06,33.1 W
2025-04-03 12:17:07,35.4 W
2025-04-03 12:17:07,33.0 W
2025-04-03 12:17:08,36.1 W
2025-04-03 12:17:08,34.3 W
2025-04-03 12:17:09,36.3 W
2025-04-03 12:17:09,35.0 W
2025-04-03 12:17:10,36.0 W
2025-04-03 12:17:10,33.2 W
2025-04-03 12:17:11,34.7 W
2025-04-03 12:17:11,32.4 W
2025-04-03 12:17:12,34.8 W
2025-04-03 12:17:12,31.7 W
