"Time","Postgres"
2025-04-03 12:47:00,1.02%
2025-04-03 12:47:10,1.58%
2025-04-03 12:47:20,1.57%
2025-04-03 12:47:30,1.59%
2025-04-03 12:47:40,1.58%
2025-04-03 12:47:50,1.59%
2025-04-03 12:48:00,1.60%
2025-04-03 12:48:10,1.59%
2025-04-03 12:48:20,1.60%
2025-04-03 12:48:30,1.59%
2025-04-03 12:48:40,1.60%
2025-04-03 12:48:50,1.60%
2025-04-03 12:49:00,1.63%
2025-04-03 12:49:10,1.60%
2025-04-03 12:49:20,1.62%
2025-04-03 12:49:30,1.63%
2025-04-03 12:49:40,1.60%
2025-04-03 12:49:50,1.70%
2025-04-03 12:50:00,1.63%
2025-04-03 12:50:10,1.62%
2025-04-03 12:50:20,1.62%
2025-04-03 12:50:30,1.63%
2025-04-03 12:50:40,1.61%
2025-04-03 12:50:50,1.65%
2025-04-03 12:51:00,1.62%
2025-04-03 12:51:10,1.62%
2025-04-03 12:51:20,1.63%
2025-04-03 12:51:30,1.61%
2025-04-03 12:51:40,1.63%
2025-04-03 12:51:50,1.61%
2025-04-03 12:52:00,1.61%
