"Time","GraphQL server"
2025-04-03 12:22:40,51.6%
2025-04-03 12:22:50,65.3%
2025-04-03 12:23:00,66.3%
2025-04-03 12:23:10,66.0%
2025-04-03 12:23:20,65.4%
2025-04-03 12:23:30,65.0%
2025-04-03 12:23:40,66.1%
2025-04-03 12:23:50,64.2%
2025-04-03 12:24:00,66.9%
2025-04-03 12:24:10,67.0%
2025-04-03 12:24:20,67.0%
2025-04-03 12:24:30,66.4%
2025-04-03 12:24:40,66.9%
2025-04-03 12:24:50,64.6%
2025-04-03 12:25:00,66.7%
2025-04-03 12:25:10,66.8%
2025-04-03 12:25:20,67.7%
2025-04-03 12:25:30,66.6%
2025-04-03 12:25:40,67.4%
2025-04-03 12:25:50,66.5%
2025-04-03 12:26:00,65.2%
2025-04-03 12:26:10,65.3%
2025-04-03 12:26:20,66.2%
2025-04-03 12:26:30,65.7%
2025-04-03 12:26:40,64.9%
2025-04-03 12:26:50,66.3%
2025-04-03 12:27:00,65.2%
2025-04-03 12:27:10,67.2%
2025-04-03 12:27:20,62.1%
2025-04-03 12:27:30,64.6%
2025-04-03 12:27:40,63.3%
